Angle theta,Perpendicular,Parallel,Unpolarised
0,21766979.14,21766979.14,21766979.14
0.1,21599959.33,21600773.23,21600366.28
0.2,21105197.77,21108390.91,21106794.34
0.3,20301260.58,20308215.78,20304738.18
0.4,19218019.85,19229831.64,19223925.74
0.5,17895116.15,17912507.29,17903811.72
0.6,16379940.42,16403207.16,16391573.79
0.7,14725258.16,14754248.1,14739753.13
0.8,12986619.44,13020743.26,13003681.35
0.9,11219708.08,11257983.62,11238845.85
1,9477783.719,9518908.472,9498346.095
1.1,7809360.566,7851806.251,7830583.408
1.2,6256247.046,6298368.487,6277307.766
1.3,4852044.031,4892193.588,4872118.81
1.4,3621166.721,3657805.357,3639486.039
1.5,2578419.737,2610216.382,2594318.06
1.6,1729118.838,1755030.997,1742074.918
1.7,1069718.58,1089048.879,1079383.73
1.8,588875.3528,601300.9203,595088.1365
1.9,268851.6681,274425.5459,271638.607
2,87151.53601,86277.60338,86714.56969
2.1,18269.14526,11654.07008,14961.60767
2.2,35433.91359,24021.27859,29727.59609
2.3,112243.8061,97136.6536,104690.2299
2.4,224094.5357,206473.0798,215283.8077
2.5,349333.3273,330374.4785,339853.9029
2.6,470090.4803,450895.1654,460492.8228
2.7,572767.9869,554301.1151,563534.551
2.8,648189.9392,631236.4077,639713.1735
2.9,691442.5454,676581.0347,684011.7901
3,701450.7158,689045.3697,695248.0427
3.1,680352.2329,670560.8007,675456.5168
3.2,632738.8132,625534.5754,629136.6943
3.3,564835.7171,560039.626,562437.6716
3.4,483688.2793,481007.2661,482347.7727
3.5,396415.5294,395482.8771,395949.2033
3.6,309579.0271,309993.0419,309786.0345
3.7,228700.4245,230058.3018,229379.3631
3.8,157945.5039,159870.1663,158907.8351
3.9,99976.8865,102135.5788,101056.2327
4,55963.5291,58077.95967,57020.74438
4.1,25723.53877,27572.26649,26647.90263
4.2,7968.47351,9382.962852,8675.718181
4.3,612.5530052,1468.801549,1040.677277
4.4,1109.1323,1316.987745,1213.060022
4.5,6779.124025,6271.354577,6525.239301
4.6,15101.25245,13824.14825,14462.70035
4.7,23941.34304,21848.16187,22894.75245
4.8,31706.43003,28754.42796,30230.42899
4.9,37418.40375,33569.58702,35493.99538
5,40710.36786,35935.53919,38322.95353
5.1,41756.10545,36041.31944,38898.71245
5.2,41148.50939,34502.7429,37825.62615
5.3,39746.17694,32208.88638,35977.53166
5.4,38508.48882,30155.77005,34332.12944
5.5,38338.4945,29286.76413,33812.62931
5.6,39950.10454,30356.54832,35153.32643
5.7,43771.8917,33831.3294,38801.61055
5.8,49894.76114,39833.00479,44863.88297
5.9,58065.43985,48129.62103,53097.53044
6,67722.70382,58169.37162,62946.03772
6.1,78068.9862,69150.99679,73609.99149
6.2,88166.85127,80120.16445,84143.50786
6.3,97048.0022,90079.4675,93563.73485
6.4,103822.0857,98099.15378,100960.6198
6.5,107773.4932,103416.5518,105595.0225
6.6,108436.4322,105514.1766,106975.3044
6.7,105641.4623,104169.399,104905.4306
6.8,99530.08576,99471.98567,99501.03571
6.9,90537.49186,91809.36772,91173.42979
7,79346.79596,81822.82187,80584.80891
7.1,66820.79769,70340.50957,68580.65363
7.2,53919.16663,58295.29381,56107.23022
7.3,41609.92434,46636.28577,44123.10505
7.4,30784.09581,36243.13241,33513.61411
7.5,22181.52134,27851.20294,25016.36214
7.6,16334.20484,21994.21735,19164.2111
7.7,13531.44143,18968.70359,16250.07251
7.8,13808.568,18822.22556,16315.39678
7.9,16958.77546,21364.86269,19161.81907
8,22565.25099,26201.19094,24383.22096
8.1,30049.18318,32778.22611,31413.70465
8.2,38728.00231,40443.58963,39585.79597
8.3,47877.71415,48507.62401,48192.66908
8.4,56793.31906,56303.32205,56548.32055
8.5,64842.02283,63238.67584,64040.34933
8.6,71505.12258,68837.27469,70171.19864
8.7,76405.93159,72764.52173,74585.22666
8.8,79322.71494,74838.51257,77080.61376
8.9,80187.16749,75026.24068,77606.70409
9,79070.32016,73427.1992,76248.75968
9.1,76158.78761,70247.5063,73203.14695
9.2,71724.89137,65768.30984,68746.60061
9.3,66094.37954,60312.39476,63203.38715
9.4,59615.236,54212.64494,56913.94047
9.5,52630.49271,47785.36817,50207.93044
9.6,45457.12338,41310.57899,43383.85118
9.7,38372.12175,35020.27694,36696.19935
9.8,31605.87603,29094.68545,30350.28074
9.9,25342.05591,23665.45529,24503.7556
10,19722.52686,18824.08699,19273.30693
10.1,14855.36163,14633.35984,14744.36074
10.2,10823.86519,11139.40605,10981.63562
10.3,7694.660291,8382.231487,8038.445889
10.4,5523.261013,6402.919249,5963.090131
10.5,4356.12635,5246.388918,4801.257634
10.6,4228.853163,4959.333745,4594.093454
10.7,5160.848645,5583.721411,5372.285028
10.8,7147.429465,7146.92725,7147.178358
10.9,10150.75451,9650.090213,9900.42236
11,14091.25691,13056.58287,13573.91989
11.1,18841.27156,17282.53654,18061.90405
11.2,24222.3564,22191.16108,23206.75874
11.3,30007.40702,27592.17497,28799.79099
11.4,35928.11433,33247.06896,34587.59164
11.5,41687.6801,38880.23789,40283.95899
11.6,46978.06095,44195.31139,45586.68617
11.7,51500.43158,48895.37624,50197.90391
11.8,54987.10975,52705.28338,53846.19657
11.9,57222.91918,55393.92606,56308.42262
12,58063.91319,56794.29535,57429.10427
12.1,57451.54715,56819.27305,57135.4101
12.2,55420.75605,55471.49135,55446.1237
12.3,52100.92615,52846.13394,52473.53005
12.4,47709.39163,49126.21497,48417.8033
12.5,42537.77358,44570.58172,43554.17765
12.6,36932.14039,39495.57114,38213.85577
12.7,31268.53968,34251.84011,32760.18989
12.8,25925.87855,29198.32876,27562.10365
12.9,21258.37017,24675.56382,22966.96699
13,17569.80148,20980.54565,19275.17357
13.1,15091.70814,18345.2903,16718.49922
13.2,13967.18973,16920.73895,15443.96434
13.3,14241.5971,16767.24232,15504.41971
13.4,15860.72576,17852.22927,16856.47751
13.5,18676.51053,20055.03733,19365.77393
13.6,22459.59887,23178.27898,22818.93892
13.7,26917.63554,26964.59468,26941.11511
13.8,31717.6682,31117.24816,31417.45818
13.9,36510.81202,35322.77848,35916.79525
14,40957.20975,39273.8521,40115.53093
14.1,44749.39122,42690.55077,43719.97099
14.2,47632.35767,45338.56926,46485.46347
14.3,49419.06355,47043.14808,48231.10582
14.4,50000.40217,47697.99045,48849.19631
14.5,49349.27989,47268.8652,48309.07255
14.6,47518.84043,45792.03562,46655.43802
14.7,44635.33697,43368.03925,44001.68811
14.8,40886.51043,40151.64718,40519.0788
14.9,36506.59376,36339.03407,36422.81392
15,31759.21217,32153.28531,31956.24874
15.1,26919.48597,27829.3601,27374.42303
15.2,22256.57553,23599.5327,22928.05412
15.3,18017.75473,19680.16986,18848.96229
15.4,14414.88309,16260.49607,15337.68958
15.5,11613.89484,13493.7754,12553.83512
15.6,9727.660292,11491.12355,10609.39192
15.7,8812.325815,10317.97511,9565.150461
15.8,8867.020745,9993.08166,9430.051202
15.9,9836.645021,10489.81201,10163.22852
16,11617.32603,11739.46515,11678.39559
16.1,14064.05565,13636.28271,13850.16918
16.2,16999.98318,16043.84972,16521.91645
16.3,20226.83723,18802.58775,19514.71249
16.4,23535.9685,21738.06081,22637.01466
16.5,26719.53533,24669.82149,25694.67841
16.6,29581.38604,27420.5177,28500.95187
16.7,31947.2211,29824.95659,30886.08884
16.8,33673.64241,31738.78703,32706.21472
16.9,34655.71868,33046.42248,33851.07058
17,34832.72031,33667.79355,34250.25693
17.1,34191.7113,33563.50656,33877.60893
17.2,32768.73819,32738.00173,32753.36996
17.3,30647.4314,31240.36127,30943.89634
17.4,27954.93915,29162.51829,28558.72872
17.5,24855.2453,26634.7596,25745.00245
17.6,21540.07812,23818.59333,22679.33573
17.7,18217.78552,20897.25209,19557.5188
17.8,15100.72236,18064.30743,16582.51489
17.9,12391.84981,15511.06077,13951.45529
18,10271.36827,13413.53028,11842.44928
18.1,8884.278387,11919.95193,10402.11516
18.2,8329.774763,11139.74203,9734.758395
18.3,8653.315872,11134.81888,9894.067376
18.4,9842.078603,11914.05015,10878.06437
18.5,11824.30127,13431.38745,12627.84436
18.6,14472.7566,15587.98352,15030.37006
18.7,17612.29443,18238.28113,17925.28778
18.8,21031.07597,21199.74224,21115.40911
18.9,24494.81471,24265.57881,24380.19676
19,27763.0704,27219.58119,27491.3258
19.1,30606.43804,29851.94148,30229.18976
19.2,32823.35481,31974.85743,32399.10612
19.3,34255.22886,33436.68997,33845.95941
19.4,34798.68058,34133.53774,34466.10916
19.5,34413.87784,34017.28011,34215.57897
19.6,33128.22679,33099.41089,33113.81884
19.7,31035.03136,31450.31683,31242.6741
19.8,28287.12625,29194.01997,28740.57311
19.9,25085.89105,26498.77012,25792.33059
20,21666.43057,23564.21116,22615.32087
20.1,18280.02706,20606.12471,19443.07588
20.2,15175.20569,17839.9519,16507.5788
20.3,12578.88322,15464.39246,14021.63784
20.4,10679.07931,13646.37183,12162.72557
20.5,9610.558649,12508.55252,11059.55558
20.6,9444.546902,12120.35637,10782.45164
20.7,10183.34374,12493.17659,11338.26016
20.8,11760.26727,13580.11914,12670.19321
20.9,14044.93864,15280.24894,14662.59379
21,16853.48852,17446.95915,17150.22384
21.1,19962.87455,19899.76026,19931.31741
21.2,23128.17257,22438.52504,22783.34881
21.3,26101.47159,24859.04676,25480.25917
21.4,28650.88194,26968.68302,27809.78248
21.5,30578.16644,28600.87206,29589.51925
21.6,31733.62504,29627.41808,30680.52156
21.7,32027.09344,29967.63706,30997.36525
21.8,31434.23487,29593.71562,30513.97524
21.9,29997.68518,28531.9423,29264.81374
22,27823.02256,26859.79564,27341.4091
22.1,25069.94058,24699.19278,24884.56668
22.2,21939.37496,22206.48986,22072.93241
22.3,18657.63953,19560.06048,19108.85
22.4,15458.8446,16946.44455,16202.64457
22.5,12566.98299,14546.14603,13556.56451
22.6,10179.07119,12520.16012,11349.61566
22.7,8450.625701,10998.23123,9724.428467
22.8,7484.550093,10069.69053,8777.120311
22.9,7324.224221,9777.5094,8550.86681
23,7951.247884,10115.95107,9033.599479
23.1,9287.924816,11031.92592,10159.92537
23.2,11204.20834,12429.87828,11817.04331
23.3,13528.49541,14179.77398,13854.1347
23.4,16061.37589,16127.53639,16094.45614
23.5,18591.23887,18107.10995,18349.17441
23.6,20910.52082,19953.22474,20431.87278
23.7,22831.3579,21513.89965,22172.62877
23.8,24199.47581,22661.75638,23430.61609
23.9,24905.30743,23303.31824,24104.31284
24,24891.55637,23385.62755,24138.59196
24.1,24156.70539,22899.72188,23528.21364
24.2,22754.28026,21880.74638,22317.51332
24.3,20787.99725,20404.73045,20596.36385
24.4,18403.22479,18582.30333,18492.76406
24.5,15775.4534,16549.84803,16162.65072
24.6,13096.67622,14458.77968,13777.72795
24.7,10560.7206,12463.77025,11512.24543
24.8,8348.632301,10710.81614,9529.724222
24.9,6615.193215,9326.053995,7970.623605
25,5477.556485,8406.171032,6941.863758
25.1,5006.815459,8011.134968,6508.975214
25.2,5223.099645,8159.79203,6691.445837
25.3,6094.527137,8828.663754,7461.595446
25.4,7540.058399,9954.02922,8747.04381
25.5,9436.010721,11437.12758,10436.56915
25.6,11625.72631,13152.07503,12388.90067
25.7,13931.65837,14955.87908,14443.76872
25.8,16168.96469,16699.76801,16434.36635
25.9,18159.58951,18240.94744,18200.26848
26,19745.7795,19453.85882,19599.81916
26.1,20802.02136,20240.04949,20521.03542
26.2,21244.50432,20535.86951,20890.18692
26.3,21037.39301,20317.37927,20677.38614
26.4,20195.43165,19602.07108,19898.75136
26.5,18782.67422,18447.26163,18614.96792
26.6,16907.42567,16945.27911,16926.35239
26.7,14713.76701,15215.82878,14964.79789
